Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/17/2026 23:08:37,System.Runtime,dotnet.process.memory.working_set (By),Metric,39358464
07/17/2026 23:08:37,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,1152
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 23:08:37,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,153352
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,107328
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,277648
07/17/2026 23:08:37,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3698688
07/17/2026 23:08:37,System.Runtime,dotnet.assembly.count ({assembly}),Metric,19
07/17/2026 23:08:37,ZeroGC.Bench,operations (Count / 1 sec),Rate,16000
07/17/2026 23:08:38,System.Runtime,dotnet.process.memory.working_set (By),Metric,40026112
07/17/2026 23:08:38,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,137
07/17/2026 23:08:38,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0617771
07/17/2026 23:08:38,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,1920
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 23:08:38,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/17/2026 23:08:38,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,153352
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,157960
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,277648
07/17/2026 23:08:38,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3698688
07/17/2026 23:08:38,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.assembly.count ({assembly}),Metric,19
07/17/2026 23:08:38,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,2384472
07/17/2026 23:08:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,1
07/17/2026 23:08:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0625
07/17/2026 23:08:38,ZeroGC.Bench,operations (Count / 1 sec),Rate,15750
07/17/2026 23:08:38,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,16293
07/17/2026 23:08:38,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
07/17/2026 23:08:38,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.000402
07/17/2026 23:08:39,System.Runtime,dotnet.process.memory.working_set (By),Metric,40214528
07/17/2026 23:08:39,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,71
07/17/2026 23:08:39,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.04508619999999999
07/17/2026 23:08:39,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,432
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,1920
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 23:08:39,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/17/2026 23:08:39,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,153352
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,157960
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,277648
07/17/2026 23:08:39,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3698688
07/17/2026 23:08:39,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/17/2026 23:08:39,System.Runtime,dotnet.assembly.count ({assembly}),Metric,19
07/17/2026 23:08:39,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,2403176
