Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/18/2026 20:58:10,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3181256
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,12175992
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,11723440
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 20:58:10,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 20:58:10,System.Runtime,dotnet.process.memory.working_set (By),Metric,325943296
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,31768576
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,224
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,499752
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,135992
07/18/2026 20:58:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 20:58:10,System.Runtime,dotnet.assembly.count ({assembly}),Metric,105
07/18/2026 20:58:11,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,220
07/18/2026 20:58:11,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,20956
07/18/2026 20:58:11,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3181256
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,12175992
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,11723440
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 20:58:11,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,211
07/18/2026 20:58:11,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,89720
07/18/2026 20:58:11,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,20
07/18/2026 20:58:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,13
07/18/2026 20:58:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.140625
07/18/2026 20:58:11,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 20:58:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.process.memory.working_set (By),Metric,326565888
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,31768576
07/18/2026 20:58:11,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/18/2026 20:58:11,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.1013970999999998
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,224
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,499752
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,135992
07/18/2026 20:58:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 20:58:11,System.Runtime,dotnet.assembly.count ({assembly}),Metric,105
07/18/2026 20:58:12,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,232
07/18/2026 20:58:12,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
