Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,305838576
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,13253416
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,10529824
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,33092368
08/03/2026 15:54:43,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/03/2026 15:54:43,System.Runtime,dotnet.process.memory.working_set (By),Metric,404971520
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,368717824
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,24660032
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,13231480
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,57160
08/03/2026 15:54:43,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,5184
08/03/2026 15:54:43,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/03/2026 15:54:43,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/03/2026 15:54:44,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0705211
08/03/2026 15:54:44,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,17494
08/03/2026 15:54:44,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.0034189999999999984
08/03/2026 15:54:44,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,8190488
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,315856720
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,11969640
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1930792
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,33975968
08/03/2026 15:54:44,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
08/03/2026 15:54:44,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
08/03/2026 15:54:44,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,2
08/03/2026 15:54:44,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/03/2026 15:54:44,System.Runtime,dotnet.process.memory.working_set (By),Metric,406077440
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,369668096
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,24305048
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,11937656
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,21976
08/03/2026 15:54:44,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,5312
08/03/2026 15:54:44,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/03/2026 15:54:44,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/03/2026 15:54:44,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
