Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/18/2026 22:47:01,System.Runtime,dotnet.process.memory.working_set (By),Metric,573788160
07/18/2026 22:47:01,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,18176
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,98215120
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,194242784
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,446943696
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:01,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,645505024
07/18/2026 22:47:01,System.Runtime,dotnet.assembly.count ({assembly}),Metric,20
07/18/2026 22:47:01,ZeroGC.Bench,operations (Count / 1 sec),Rate,64
07/18/2026 22:47:02,System.Runtime,dotnet.process.memory.working_set (By),Metric,574709760
07/18/2026 22:47:02,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,138
07/18/2026 22:47:02,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0693646
07/18/2026 22:47:02,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,18176
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,98215120
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 22:47:02,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,194242784
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,446943696
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,645505024
07/18/2026 22:47:02,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.assembly.count ({assembly}),Metric,20
07/18/2026 22:47:02,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,163336
07/18/2026 22:47:02,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.078125
07/18/2026 22:47:02,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
07/18/2026 22:47:02,ZeroGC.Bench,operations (Count / 1 sec),Rate,63
07/18/2026 22:47:02,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,17319
07/18/2026 22:47:02,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
07/18/2026 22:47:02,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.process.memory.working_set (By),Metric,583340032
07/18/2026 22:47:03,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,62
07/18/2026 22:47:03,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.03984400000000002
07/18/2026 22:47:03,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,33600
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2184
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,104
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:03,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 22:47:03,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,290669776
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,159832
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,348728176
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,751865856
07/18/2026 22:47:03,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.assembly.count ({assembly}),Metric,20
07/18/2026 22:47:03,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,129152
07/18/2026 22:47:03,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,1
07/18/2026 22:47:03,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.6875
07/18/2026 22:47:03,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
07/18/2026 22:47:03,ZeroGC.Bench,operations (Count / 1 sec),Rate,50
07/18/2026 22:47:03,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,9376
07/18/2026 22:47:03,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
07/18/2026 22:47:03,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.220252
07/18/2026 22:47:04,System.Runtime,dotnet.process.memory.working_set (By),Metric,582488064
07/18/2026 22:47:04,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,107
07/18/2026 22:47:04,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.042201600000000006
07/18/2026 22:47:04,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,33600
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2184
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,104
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:04,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/18/2026 22:47:04,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,290669776
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,159832
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,348728176
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/18/2026 22:47:04,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,751865856
