Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1268256
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,2187408
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1166536
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,94568
07/17/2026 23:38:48,System.Runtime,dotnet.process.memory.working_set (By),Metric,81096704
07/17/2026 23:38:48,System.Runtime,dotnet.timer.count ({timer}),Metric,17
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,2030448
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,924072
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 23:38:48,System.Runtime,dotnet.assembly.count ({assembly}),Metric,101
07/17/2026 23:38:48,ZeroGC.Bench,operations (Count / 1 sec),Rate,521
07/17/2026 23:38:48,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,8994816
07/17/2026 23:38:48,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/17/2026 23:38:49,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,578
07/17/2026 23:38:49,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1268256
07/17/2026 23:38:49,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/17/2026 23:38:49,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,2187408
07/17/2026 23:38:49,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1166536
